image,GT,Prediction
0406.JPG,7,0
0407.JPG,18,23
0408.JPG,27,21
0409.JPG,8,13
0410.JPG,8,5
0411.JPG,17,17
0412.JPG,15,13
0413.JPG,13,0
0414.JPG,5,7
0415.JPG,18,16
0416.JPG,21,15
0417.JPG,11,12
0418.JPG,12,11
0419.JPG,45,29
0420.JPG,14,12
0421.JPG,16,24
0422.JPG,19,16
0423.JPG,12,8
0424.JPG,8,1
0425.JPG,8,0
0426.JPG,29,15
0427.JPG,18,21
0428.JPG,60,30
0429.JPG,17,14
0430.JPG,19,18
0431.JPG,5,3
0432.JPG,11,12
0433.JPG,7,7
0434.JPG,13,14
0435.JPG,8,4
0436.JPG,21,17
0437.JPG,11,10
0438.JPG,30,24
0439.JPG,16,15
0440.JPG,7,9
0441.JPG,11,0
0442.JPG,20,12
0443.JPG,12,0
0444.JPG,8,9
0445.JPG,13,16
0446.JPG,16,17
0447.JPG,17,24
0448.JPG,31,24
0449.JPG,23,17
0450.JPG,13,9
0451.JPG,23,23
0452.JPG,10,9
0453.JPG,16,0
0454.JPG,6,6
0455.JPG,10,15
0456.JPG,7,2
0457.JPG,3,6
0458.JPG,21,17
0459.JPG,13,12
0460.JPG,15,2
0461.JPG,7,10
0462.JPG,9,10
0463.JPG,31,24
0464.JPG,14,19
0465.JPG,4,4
0466.JPG,10,10
0467.JPG,10,9
0468.JPG,17,0
0469.JPG,34,19
0470.JPG,8,8
0471.JPG,11,9
0472.JPG,7,8
0473.JPG,13,10
0474.JPG,9,11
0475.JPG,18,17
0476.JPG,15,0
0477.JPG,13,0
0478.JPG,6,10
0479.JPG,24,22
0480.JPG,22,19
0481.JPG,13,9
0482.JPG,19,15
0483.JPG,7,5
0484.JPG,10,11
0485.JPG,32,25
0486.JPG,8,8
0487.JPG,15,12
0488.JPG,7,7
0489.JPG,18,16
0490.JPG,18,11
0491.JPG,20,17
0492.JPG,14,10
0493.JPG,14,5
0494.JPG,15,12
0495.JPG,11,7
0496.JPG,16,15
0497.JPG,24,16
0498.JPG,4,4
0499.JPG,20,1
0500.JPG,19,0
0501.JPG,24,19
0502.JPG,8,11
0503.JPG,20,20
0504.JPG,8,0
0505.JPG,12,12
0506.JPG,13,0
0507.JPG,8,0
0508.JPG,94,21
0509.JPG,4,0
0510.JPG,14,2
0511.JPG,15,18
0512.JPG,7,7
0513.JPG,6,0
0514.JPG,8,10
0515.JPG,31,30
0516.JPG,20,17
0517.JPG,21,16
0518.JPG,9,9
0519.JPG,9,0
