image,GT,Prediction
0159.JPG,17,2
0160.JPG,15,3
0161.JPG,24,1
0162.JPG,7,2
0163.JPG,19,3
0164.JPG,8,5
0165.JPG,8,0
0166.JPG,8,6
0167.JPG,8,0
0168.JPG,23,0
0169.JPG,12,4
0170.JPG,8,1
0171.JPG,18,1
0172.JPG,33,1
0173.JPG,12,1
0174.JPG,25,0
0175.JPG,5,1
0176.JPG,26,0
0177.JPG,10,4
0178.JPG,19,0
0179.JPG,10,0
0180.JPG,8,0
0181.JPG,8,5
0182.JPG,15,6
0183.JPG,17,1
0184.JPG,46,1
0185.JPG,40,1
0186.JPG,18,0
0187.JPG,7,4
0188.JPG,22,1
0189.JPG,23,0
0190.JPG,15,3
0191.JPG,6,2
0192.JPG,8,3
0193.JPG,36,6
0194.JPG,17,2
0195.JPG,20,2
0196.JPG,10,4
0197.JPG,13,7
0198.JPG,23,0
0199.JPG,8,0
0200.JPG,21,5
0201.JPG,6,0
0202.JPG,16,1
0203.JPG,16,3
0204.JPG,18,3
0205.JPG,12,5
0206.JPG,21,2
0207.JPG,5,2
0208.JPG,22,0
0209.JPG,47,0
0210.JPG,28,0
0211.JPG,20,2
0212.JPG,13,2
0213.JPG,10,0
0214.JPG,20,0
0215.JPG,25,1
0216.JPG,9,5
0217.JPG,7,0
0218.JPG,6,0
0219.JPG,13,2
0220.JPG,11,1
0221.JPG,10,5
0222.JPG,11,3
0223.JPG,18,8
0224.JPG,7,0
0225.JPG,14,5
0226.JPG,31,0
0227.JPG,15,1
0228.JPG,11,1
0229.JPG,23,0
0230.JPG,2,3
0231.JPG,26,0
0232.JPG,28,3
0233.JPG,9,0
0234.JPG,17,3
0235.JPG,11,1
0236.JPG,13,1
0237.JPG,7,2
0238.JPG,8,2
0239.JPG,13,2
0240.JPG,13,5
0241.JPG,16,1
0242.JPG,24,1
0243.JPG,7,4
0244.JPG,15,0
0245.JPG,16,5
0246.JPG,5,2
0247.JPG,18,1
0248.JPG,40,4
0249.JPG,11,1
0250.JPG,22,1
0251.JPG,6,2
0252.JPG,14,1
0253.JPG,19,0
0254.JPG,18,1
0255.JPG,7,1
0256.JPG,20,3
0257.JPG,43,2
0258.JPG,5,1
0259.JPG,22,1
0260.JPG,10,1
0261.JPG,4,2
0262.JPG,21,1
0263.JPG,19,1
0264.JPG,7,3
0265.JPG,6,4
0266.JPG,17,2
0267.JPG,20,3
0268.JPG,23,2
0269.JPG,16,0
0270.JPG,14,5
0271.JPG,13,6
0272.JPG,16,6
0273.JPG,36,1
0274.JPG,7,0
0275.JPG,16,3
0276.JPG,15,1
0277.JPG,21,0
0278.JPG,10,6
0279.JPG,7,0
0280.JPG,25,2
0281.JPG,11,6
0282.JPG,12,3
0283.JPG,5,0
0284.JPG,29,3
0285.JPG,14,1
0286.JPG,22,4
0287.JPG,9,1
0288.JPG,21,2
0289.JPG,39,0
0290.JPG,20,0
0291.JPG,13,1
0292.JPG,19,1
0293.JPG,31,1
0294.JPG,14,5
0295.JPG,10,5
0296.JPG,6,0
0297.JPG,6,2
0298.JPG,24,0
0299.JPG,12,0
0300.JPG,5,2
0301.JPG,9,5
0302.JPG,29,0
0303.JPG,12,2
0304.JPG,9,2
0305.JPG,23,0
0306.JPG,21,3
0307.JPG,21,0
0308.JPG,4,4
0309.JPG,20,3
0310.JPG,22,0
0311.JPG,6,0
0312.JPG,15,2
0313.JPG,18,0
0314.JPG,9,2
0315.JPG,19,2
0316.JPG,10,8
0317.JPG,12,4
0318.JPG,20,1
0319.JPG,29,0
0320.JPG,5,4
0321.JPG,4,3
0322.JPG,27,3
0323.JPG,10,2
0324.JPG,17,0
0325.JPG,33,1
0326.JPG,15,0
0327.JPG,11,2
0328.JPG,14,0
0329.JPG,13,3
0330.JPG,11,1
0331.JPG,18,0
0332.JPG,8,1
0333.JPG,9,2
0334.JPG,9,0
0335.JPG,4,2
0336.JPG,12,3
0337.JPG,6,1
0338.JPG,12,3
0339.JPG,10,3
0340.JPG,15,7
0341.JPG,32,0
0342.JPG,24,3
0343.JPG,40,0
0344.JPG,7,2
0345.JPG,6,1
0346.JPG,30,0
0347.JPG,18,1
0348.JPG,19,0
0349.JPG,31,0
0350.JPG,13,6
0351.JPG,13,4
0352.JPG,9,0
0353.JPG,7,2
0354.JPG,44,1
0355.JPG,7,1
0356.JPG,15,2
0357.JPG,86,0
0358.JPG,32,3
0359.JPG,27,5
0360.JPG,15,2
0361.JPG,30,0
0362.JPG,18,2
0363.JPG,14,0
0364.JPG,13,1
0365.JPG,24,0
0366.JPG,7,3
0367.JPG,16,0
0368.JPG,36,0
0369.JPG,12,3
0370.JPG,12,5
0371.JPG,17,0
0372.JPG,9,5
0373.JPG,14,1
0374.JPG,14,0
0375.JPG,10,2
0376.JPG,28,3
0377.JPG,7,1
0378.JPG,15,2
0379.JPG,8,7
0380.JPG,24,4
0381.JPG,26,0
0382.JPG,44,0
0383.JPG,7,1
0384.JPG,22,1
0385.JPG,34,0
0386.JPG,6,0
0387.JPG,9,0
0388.JPG,16,2
0389.JPG,21,0
0390.JPG,22,0
0391.JPG,11,1
0392.JPG,11,6
0393.JPG,14,2
0394.JPG,9,1
0395.JPG,20,6
0396.JPG,8,1
0397.JPG,10,2
0398.JPG,8,2
0399.JPG,16,1
0400.JPG,21,2
0401.JPG,10,0
0402.JPG,8,0
0403.JPG,10,2
0404.JPG,5,2
0405.JPG,2,0
0406.JPG,7,0
0407.JPG,18,0
0408.JPG,27,4
0409.JPG,8,0
0410.JPG,8,2
0411.JPG,17,0
0412.JPG,15,2
0413.JPG,13,2
0414.JPG,5,4
0415.JPG,18,1
0416.JPG,21,4
0417.JPG,11,6
0418.JPG,12,1
0419.JPG,45,5
0420.JPG,14,0
0421.JPG,16,0
0422.JPG,19,7
0423.JPG,12,4
0424.JPG,8,0
0425.JPG,8,2
0426.JPG,29,1
0427.JPG,18,2
0428.JPG,60,0
0429.JPG,17,0
0430.JPG,19,2
0431.JPG,5,2
0432.JPG,11,2
0433.JPG,7,1
0434.JPG,13,5
0435.JPG,8,3
0436.JPG,21,5
0437.JPG,11,2
0438.JPG,30,0
0439.JPG,16,5
0440.JPG,7,1
0441.JPG,11,2
0442.JPG,20,2
0443.JPG,12,0
0444.JPG,8,1
0445.JPG,13,3
0446.JPG,16,1
0447.JPG,17,0
0448.JPG,31,0
0449.JPG,23,1
0450.JPG,13,4
0451.JPG,23,2
0452.JPG,10,2
0453.JPG,16,0
0454.JPG,6,0
0455.JPG,10,1
0456.JPG,7,2
0457.JPG,3,1
0458.JPG,21,0
0459.JPG,13,0
0460.JPG,15,3
0461.JPG,7,2
0462.JPG,9,4
0463.JPG,31,3
0464.JPG,14,1
0465.JPG,4,1
0466.JPG,10,8
0467.JPG,10,5
0468.JPG,17,0
0469.JPG,34,4
0470.JPG,8,2
0471.JPG,11,1
0472.JPG,7,2
0473.JPG,13,2
0474.JPG,9,3
0475.JPG,18,0
0476.JPG,15,0
0477.JPG,13,0
0478.JPG,6,3
0479.JPG,24,1
0480.JPG,22,1
0481.JPG,13,0
0482.JPG,19,1
0483.JPG,7,1
0484.JPG,10,0
0485.JPG,32,5
0486.JPG,8,3
0487.JPG,15,0
0488.JPG,7,5
0489.JPG,18,0
0490.JPG,18,3
0491.JPG,20,0
0492.JPG,14,0
0493.JPG,14,4
0494.JPG,15,6
0495.JPG,11,4
0496.JPG,16,1
0497.JPG,24,4
0498.JPG,4,5
0499.JPG,20,2
0500.JPG,19,0
0501.JPG,24,3
0502.JPG,8,2
0503.JPG,20,0
0504.JPG,8,2
0505.JPG,12,3
0506.JPG,13,1
0507.JPG,8,0
0508.JPG,94,0
0509.JPG,4,5
0510.JPG,14,0
0511.JPG,15,3
0512.JPG,7,3
0513.JPG,6,0
0514.JPG,8,2
0515.JPG,31,2
0516.JPG,20,4
0517.JPG,21,1
0518.JPG,9,1
0519.JPG,9,0
